cou,country,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,change
SOM,Somalia,6.215999999999999,6.425,6.670999999999999,7.056,7.34,7.3759999999999994,7.438,7.526999999999999,7.404999999999999,7.205,6.811,6.487,6.0920000000000005,5.7989999999999995,5.439,5.141,5.061999999999999,5.063000000000001,5.167,4.9830000000000005,4.747999999999999,4.963,4.832,4.368,4.446,4.42,4.418,4.239,1.9769999999999994
SUR,Suriname,7.198,7.421,7.5440000000000005,7.77,7.625,7.265000000000001,7.458,7.625,7.88,8.161999999999999,8.334,8.727,9.146,9.461,9.701,9.754000000000001,9.875,9.941,9.995,9.952,10.04,10.440999999999999,10.17,10.414,10.154,10.589,10.667000000000002,10.796,-3.597999999999999
SWZ,Eswatini,4.255,4.193,4.1530000000000005,4.129,4.181,4.339,4.449,4.53,4.695,5.002000000000001,5.391,5.773,6.109,6.41,6.591,6.838,6.9559999999999995,7.1579999999999995,7.253,7.274,7.198,6.932,6.98,6.958,6.686999999999999,6.5600000000000005,6.248,6.1129999999999995,-1.8579999999999997
TZA,Tanzania,7.773999999999999,7.615,7.354,7.327999999999999,7.0809999999999995,6.813000000000001,6.713,6.587,6.412,6.088,5.726,5.457,5.234999999999999,5.091,4.924,4.695,4.563,4.561,4.414,4.368,4.181,4.172000000000001,4.291,4.062,3.8970000000000002,3.828,3.7720000000000002,3.731,4.042999999999999
THA,Thailand,4.922,5.141,5.304,5.5489999999999995,5.818,6.1080000000000005,6.451,6.198,6.256,6.598000000000001,6.675,6.676,6.902,6.907,7.0120000000000005,7.073,7.266,7.427,7.602,7.64,7.929,8.222,8.448,8.554,8.634,8.677999999999999,9.01,9.349,-4.4270000000000005
TGO,Togo,6.437,6.420999999999999,6.388,6.348000000000001,6.199,6.093,5.996,6.008,5.889,5.838,5.65,5.563000000000001,5.464,5.091,4.734999999999999,4.485,4.4350000000000005,4.311,4.28,4.24,4.166,4.17,4.155,3.827,3.686,4.486,4.294,4.1240000000000006,2.3129999999999997
UGA,Uganda,5.157,5.152,5.029,4.987,4.911,4.782,4.806,4.82,4.791,4.742,4.616,4.914,4.926,4.763999999999999,4.74,4.4879999999999995,4.2940000000000005,4.16,4.0120000000000005,3.876,3.7640000000000002,3.865,4.015,3.893,3.715,3.643,3.612,3.439,1.718
KOR,South Korea,9.218,9.003,8.571,8.347000000000001,8.277000000000001,8.001000000000001,7.862,7.833,7.904999999999999,7.98,8.047,7.988999999999999,8.036999999999999,8.077,8.073,7.9990000000000006,7.931,7.97,8.023,8.120000000000001,8.224,8.333,8.288,8.443,8.228,8.378,8.055,8.199,1.0190000000000001
SVK,Slovakia,18.299,17.811999999999998,17.262999999999998,16.531,15.846,15.788,15.216999999999999,15.465,15.451,15.094999999999999,14.689,14.621,14.55,14.578,14.348,14.637,14.575,14.735999999999999,14.460999999999999,14.175,13.716999999999999,13.527,12.703,12.356000000000002,11.998999999999999,12.474,11.799,11.916,6.382999999999999
ESP,Spain,6.997999999999999,7.149,7.097,7.122,7.138,7.239000000000001,7.345000000000001,7.281000000000001,7.404999999999999,7.549,7.271,7.194,7.130000000000001,7.119,6.85,6.739,6.5489999999999995,6.506,6.3790000000000004,6.185,6.019,6.242999999999999,5.976,5.763,5.554,5.843,5.485,5.477,1.520999999999999
